Titel,Synonyms,Brand Names
"Cyanocobalamin","Cyanocob(III)alamin; Vitamin B12; Vitamin B12 complex; Vitamine B12","Anacobin; Bedoz; Berocca PN; Berubigen; Betalin 12; Cernevit-12; Cobavite; Cobex; Cobolin-M; Crystamine; Crysti-12; Cyanocobalamin Co 57 Schilling Test Kit; Cyanoject; Cyomin; Depinar; Dicopac; Dicopac Kit; M.V.I. Pediatric; Nascobal; Neuroforte-R; Primabalt; Redisol; Rubivite; Rubramin PC; Rubratope-57 Kit; Rubratope-60 Kit; Ruvite; Shovite; Vi-Twel; Vibal; Vibisone; Vitabee 12; Vitaped"
"Tetrahydrofolic acid","(6S)-tetrahydrofolate; 5,6,7,8-tetrahydrofolate; 5,6,7,8-tetrahydrofolic acid; FH4; folate-H4; H4PteGlu; N-(4-(((2-Amino-1,4,5,6,7,8-hexahydro-4-oxo-6-pteridinyl)methyl)amino)benzoyl)glutamic acid; tetra-H-folate; tetrahydrafolate; tetrahydrofolate; tetrahydropteroyl mono-L-glutamate; tetrahydropteroylglutamate; th-folate; THF",
"L-Histidine","(S)-4-(2-Amino-2-carboxyethyl)imidazole; (S)-a-Amino-1H-imidazole-4-propanoic acid; (S)-alpha-Amino-1H-imidazole-4-propionic acid; (S)-Histidine; Glyoxaline-5-alanine; Histidine; L-(-)-Histidine",
"S-Adenosylmethionine","AdoMet; S-Adenosyl-L-methionine; SAM; SAM-e","Sam-Sulfate; SAMe Rx-Mood"
"Pyruvic acid","2-Oxopropanoate; 2-Oxopropanoic acid; 2-Oxopropionic acid; a-Ketopropionic acid; Acetylformic acid; BTS; Pyroracemic acid; Pyruvate",
"L-Phenylalanine","(S)-alpha-Amino-beta-phenylpropionic acid",
"Biotin","(+)-Biotin; (+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid; cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid; Coenzyme R; D-Biotin; D(+)-Biotin; Vitamin B7; Vitamin H","Biodermatin; Bioepiderm; Bios II; Biotin Forte; Factor S; Lutavit H2; Meribin; Rovimix H2"
"Choline","(2-Hydroxyethyl)trimethylammonium; 2-Hydroxy-N,N,N-trimethylethanaminium; Bilineurine; Choline cation; Choline ion; Cholinum",
"L-Lysine","2,6-diaminohexanoic acid; L-lys; LYS; lysine; lysine acid","Enisyl"
"L-Arginine","(S)-2-Amino-5-[(aminoiminomethyl)amino]pentanoic acid; 2-Amino-5-guanidinovaleric acid; Arginine; L-(+)-Arginine; L-a-Amino-d-guanidinovaleric acid; L-Arg","Argamine; Argivene; Detoxargin; Levargin; Minophagen A; R-Gene 10 (Pharmacia Corp.)"
"Vitamin C","AA; Ascorbate; Ascorbic Acid; L-Ascorbate; L-Ascorbic Acid; L-Lyxoascorbic Acid; L-Xyloascorbic Acid","Adenex; Allercorb; Antiscorbic Vitamin; Antiscorbutic Vitamin; Arco-Cee; Ascoltin; Ascor-B.I.D.; Ascorb; Ascorbajen; Ascorbicab; Ascorbicap; Ascorbicin; Ascorbin; Ascorbutina; Ascorin; Ascorteal; Ascorvit; C-Level; C-Long; C-Quin; C-Span; C-Vimin; Cantan; Cantaxin; Catavin C; Ce Lent; Cebicure; Cebid; Cebion; Cebione; Cecon; Cee-Caps Td; Cee-Vite; Cegiolan; Ceglion; Celaskon; Celin; Cemagyl; Cemill; Cenetone; Cenolate; Cereon; Cergona; Cescorbat; Cetamid; Cetane; Cetane-Caps Tc; Cetane-Caps Td; Cetebe; Cetemican; Cevalin; Cevatine; Cevex; Cevi-Bid; Cevimin; Cevital; Cevitamic Acid; Cevitamin; Cevitan; Cevitex; Cewin; Ciamin; Cipca; Citriscorb; Colascor; Concemin; Davitamon C; Duoscorb; Hicee; Hybrin; IDO-C; Kyselina Askorbova; Laroscorbine; Lemascorb; Liqui-Cee; Meri-C; Natrascorb; Planavit C; Proscorbin; Redoxon; Ribena; Roscorbic; Scorbacid; Scorbu-C; Secorbate; Sodascorbate; Testascorbic; Vicelat; Vicin; Vicomin C; Viforcit; Viscorin; Vitace; Vitacee; Vitacimin; Vitacin; Vitamisin; Vitascorbol; Xitix"
"Spermine","1, 4-Bis(aminopropyl)butanediamine; 4,9-Diaza-1,12-dodecanediamine; 4,9-Diazadodecane-1,12-diamine; Spermin; Spermine dihydrate","Gerontine; Musculamine; Neuridine"
"L-Aspartic Acid","(+)-Aspartic acid; (2S)-Aspartic acid; (L)-Aspartic acid; (S)-Aminobutanedioic acid; (S)-Aspartic acid; Acide aspartique [INN-French]; Acido aspartico [INN-Spanish]; Acidum asparticum; Aminosuccinic acid; Asparagic acid; Asparaginic acid; Asparaginsaeure [German]; Aspartate; Aspartic acid; H-Asp-OH; L-(+)-Aspartic acid; L-2-Aminobutanedioic acid; L-Aminosuccinic acid; L-Asparagic acid; L-Asparaginic acid; L-Asparaginsaeure; L-Asparaginsyra; L-Aspartinsaeure","Aspatofort"
"L-Ornithine","2,5-Diaminopentanoate; 2,5-Diaminopentanoic acid; 2,5-Diaminovaleric acid; Ornithine","OKG (Nature's Bounty)"
"L-Glutamine","2-Aminoglutaramic acid; AES-14; Glutamine; L-glutamine","Cebrogen; Earthlink Science Glutamine Chews Chocolate (Amerifit); Glavamin; Glutamine Express (Genetic Evolutionary Nutrition); Glutamine Fuel Mega (Twinlab); Glutamine Fuel Powder (Twinlab); L-Glutamine Power (Champion Nutrition); Saforis; Stimulina"
"Adenosine monophosphate","5'-Adenosine monophosphate; 5'-Adenylic acid; 5'-AMP; Adenosine 5'-(dihydrogen phosphate); Adenosine 5'-monophosphate; Adenosine 5'-phosphate; Adenosine 5'-phosphoric acid; Adenosine phosphate; Adenosine-5-monophosphoric acid; Adenosine-5'-Monophosphate; Adenosine-5'-monophosphoric acid; Adenylate; Adenylic acid; AMP; Phosphentaside","Adenovite; Cardiomone; Lycedan; My-B-Den; Phosaden; Phosphaden"
"Alpha-Linolenic Acid","(9Z,12Z,15Z)-Octadecatrienoic acid; 9,12,15-Octadecatrienoic acid; ALA; alpha-Linolenate; linolenate",
"L-Serine","(-)-Serine; (S)-2-Amino-3-hydroxypropanoic acid; (S)-a-Amino-b-hydroxypropionic acid; (S)-Serine; 2-Amino-3-hydroxypropionic acid; 3-Hydroxyalanine; b-Hydroxy-L-alanine; L-(-)-Serine; L-3-Hydroxy-2-aminopropionic acid; L-Ser; Serine",
"L-Methionine","(S)-2-Amino-4-(methylthio)butanoic acid; 2-Amino-4-(methylthio)butyric acid; a-Amino-g-methylmercaptobutyric acid; g-Methylthio-a-aminobutyric acid; L-(-)-Methionine; L-a-Amino-g-methylthiobutyric acid; Methionine","Acimethin; Cymethion"
"L-Tyrosine","2-Amino-3-(p-hydroxyphenyl)propionic acid; 3-(p-Hydroxyphenyl)alanine; Free-Form L-Tyrosine","Rxosine; Tyrosine; Tyrosine Power"
"Calcitriol","1,25-(OH)<sub>2</sub>D3; 1,25-dihydroxycholecalciferol","Calcijex; Calcitriol Oral Solution; Decostriol; Rocaltrol"
"Xanthophyll","(3R,3'R,6'R)-Lutein; (3R,3'R,6S)-4,5-Didehydro-5,6-Dihydro-Beta,Beta-Carotene-3,3'-Diol; (3R,3'R)-Beta,Beta-Carotene-3,3'-Diol, Lutein; 4,5-Didehydro-5,6-dihydro-beta,beta-carotene-3,3'-diol; All-trans-(+)-Xanthophyll; All-trans-Lutein; all-trans-Xanthophyll; beta,epsilon-Carotene-3,3'-diol; Carotenoid; Lutein; Lutein ester; Luteine; Phylloxanthin; trans-Lutein; Vegetable lutein; Vegetable luteol","Bo-Xan"
"L-Cystine","(-)-Cystine; Cysteine disulfide; Cystine acid; L-alpha-Diamino-beta-dithiolactic acid; L-Dicysteine",
"Succinic acid","1,2-Ethanedicarboxylic acid; Acid of amber; Amber acid; Asuccin; Bernsteinsaure; Butanedioic acid; Butanedionic acid; Dicarboxylic acid; Dihydrofumaric acid; Ethanedicarboxylic acid; Ethylene succinic acid; Ethylenesuccinic acid; Sal succini; Spirit of amber; Succinate; Succinellite; Succinicum acidum; Succinicun acidum","Katasuccin; Kyselina jantarova"
"Riboflavin","Lactoflavin; Lactoflavine; Riboflavina [INN-Spanish]; Riboflavine [INN-French]; Riboflavinum [INN-Latin]; Russupteridine Yellow III; Vitamin B2; Vitamin Bi; Vitamin G","Aqua-Flave; Beflavin; Beflavine; Bisulase; Dermadram; Fiboflavin; Flavaxin; Flavin; Flavin Bb; Flaxain; HSDB 817; Hyflavin; Hyre; Lactobene; Ovoflavin; Ribipca; Ribocrisina; Riboderm; Ribosyn; Ribotone; Ribovel; Vitaflavine; Vitasan B2"
"N-Acetyl-D-glucosamine","2-Acetamido-2-deoxy-D-glucose; GlcNAc; Glucosamine Complex; N-Acetylchitosamine; NAG","Aflexa; GS-500; Maxi GS; Natures Blend Glucosamine"
"L-Glutamic Acid","(2S)-2-Aminopentanedioic acid; (S)-(+)-Glutamic acid; (S)-2-Aminopentanedioic acid; (S)-Glutamic acid; 1-Aminopropane-1,3-dicarboxylic acid; 2-Aminoglutaric acid; 2-Aminopentanedioic acid; a-Aminoglutaric acid; a-Glutamic acid; Glutamic acid; Glutaminic acid; L-(+)-Glutamic acid; L-a-Aminoglutaric acid; L-Glutamate; L-Glutaminic acid","Aciglut; Glusate; Glutacid; Glutamicol; Glutamidex; Glutaminol; Glutaton"
"Glutathione","5-L-Glutamyl-L-cysteinylglycine; gamma-L-Glutamyl-L-cysteinyl-glycine; Gluthathione; GSH; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine","Copren; Isethion; Ledac; Neuthion; Tathion"
"Phosphatidylserine","3-O-sn-Phosphatidyl-L-serine; O3-Phosphatidyl-L-serine; Phosphatidyl-L-serine","LifeExtension PS Caps"
"Glycine","2-Aminoacetic acid; Aminoacetic acid; Aminoethanoic acid; Gly","Aciport; Glicoamin; Glycocoll; Glycolixir; Glycosthene; Gyn-Hydralin; Padil"
"Calcidiol","Calcifediol; Calcifediol Anhydrous; Calcifediolum [INN-Latin]; Calcifidiol","Calderol; Delakmin"
"Pyridoxal","PL; Pyridoxaldehyde; Vitamin B6 hydrochloride",
"Creatine","(alpha-Methylguanido)acetic acid; Creatine (8CI); Creatine, hydrate; Methylguanidoacetic acid; N-Amidinosarcosine; N-Methyl-N-guanylglycine","Cosmocair C 100; Creatin; Kreatin; Krebiozon; Phosphagen; Pyrolysate"
"L-Leucine","(2S)-2-Amino-4-methylpentanoic acid; (S)-(+)-Leucine; (S)-2-Amino-4-methylpentanoic acid; (S)-2-Amino-4-methylvaleric acid; (S)-Leucine; 1-Leucine; 2-Amino-4-methylpentanoic acid; 2-Amino-4-methylvaleric acid; alpha-Amino-gamma-methylvaleric acid; alpha-Aminoisocaproic acid; L-(-)-2-Amino-4-methylpentanoic acid; L-(+)-Leucine; L-a-Aminoisocaproic acid; Leu; Leucin; Leucine",
"L-Tryptophan","(-)-Tryptophan; (S)-a-Amino-1H-indole-3-propanoic acid; (S)-a-Amino-b-indolepropionic acid; (S)-a-Aminoindole-3-propionic acid; (S)-Tryptophan; 2-Amino-3-indolylpropanoic acid; 3-Indol-3-ylalanine; alpha-Amino-beta-(3-indolyl)-propionic acid; L-(-)-Tryptophan; l-a-Aminoindole-3-propionic acid; l-b-3-Indolylalanine; L-Tryptophane; Tryptophan; Tryptophane","Alti-Tryptophan; Lyphan"
"L-Cysteine","(R)-2-Amino-3-mercaptopropanoic acid; (R)-Cysteine; 2-Amino-3-mercaptopropionic acid; 3-mercapto-L-Alanine; b-Mercaptoalanine; carbocysteine; Cys; Cystein; Half-cystine; L-(+)-Cysteine; L-2-Amino-3-mercaptopropionic acid; L-Cys; Thioserine",
"Thiamine","Thiadoxine; Thiamin; Thiamine Hcl; Vitamin B1","Aneurin; Antiberiberi Factor; Betalin S; Betaxin; Bewon; Biamine; Cernevit-12; Infuvite Pediatric; M.V.I.-12 Lyophilized; Vitaneuron; Vitaped"
"Ergocalciferol","Synthetic Vitamin D; Vitamin D2","Buco-D; Calciferol; Calciferon 2; Condacaps; Condocaps; Condol; Crtron; Crystallina; D-Arthin; D-Tracetten; Daral; Davitamon D; Davitin; De-Rat Concentrate; Decaps; Dee-Osterol; Dee-Ron; Dee-Ronal; Dee-Roual; Deltalin; Deratol; Detalup; Diactol; Divit Urto; Doral; Drisdol; Ercalciol; Ergorone; Ergosterol Activated; Ergosterol, Irradiated; Ertron; Fortodyl; Geltabs; Hi-Deratol; Infron; Metadee; Mulsiferol; Mykostin; Novovitamin-D; Oleovitamin D; Oleovitamin D, Synthetic; Oleovitamin D2; Ostelin; Radiostol; Radstein; Radsterin; Rodine C; Shock-Ferol; Shock-Ferol Sterogyl; Sterogyl; Uvesterol-D; Vio-D; Viostdrol; Viosterol; Viosterol in Oil; Vitavel-D"
"gamma-Homolinolenic acid","(8E,11E,14E)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; 8,11,14-Eicosatrienoic Acid; cis-8,11,14-Eicosatrienoic acid; DGLA; Dihomo-gamma-linolenic acid; Homo-gamma-linolenic acid","Star GLA (GNC); Tona-lean 1000 CLA (Action Labs) "
"L-Citrulline","2-Amino-5-uredovaleric acid; Citrulline; delta-Ureidonorvaline; N5-(Aminocarbonyl)ornithine; N5-Carbamoyl-L-ornithine; N5-carbamoylornithine; N5-carbamylornithine; Sitrulline",
"L-Threonine","(S)-Threonine; [R-(R*,S*)]-2-Amino-3-hydroxybutanoic acid; 2-Amino-3-hydroxybutyric acid; L-(-)-Threonine; Threonin; Threonine",
"NADH","beta-DPNH; beta-NADH; Coenzyme I, reduced; Cozymase I, reduced; dihydrodiphosphopyridine nucleotide; dihydronicotinamide adenine dinucleotide; Diphosphopyridine nucleotide; diphosphopyridine nucleotide reduced; DPN; DPN+; DPNH; NAD-reduced; NAD+; NADH+H+; NADH2; Nicotinamide adenine dinucleotide; nicotinamide adenine dinucleotide reduced; Nicotinaminde-Adenine-Dinucleotide","Nadide"
